,brewery,name,origin,volume_ml,price,bitterness,body,sweetness,recommendation,cat_1,cat_2,price/100_ml
106,oppigårds,golden ale,sverige,330.0,22.0,8.0,6.0,1.0,Passar till fläskPassar till sällskapsdryckPassar till fiskPassar till grönsaker,ale,golden/blond ale,6.666666666666667
107,baron trenck,,tjeckien,500.0,23.5,6.0,7.0,2.0,Passar till sällskapsdryckPassar till nötPassar till fläsk,ljus lager,starkare lager,4.7
108,bernard,amber lager,tjeckien,330.0,17.9,6.0,6.0,3.0,Passar till lammPassar till nötPassar till sällskapsdryck,mellanmörk lager,polotmavý,5.424242424242424
109,carlsberg export,,,330.0,13.9,5.0,6.0,1.0,Passar till fiskPassar till buffématPassar till fläskPassar till sällskapsdryck,ljus lager,internationell stil,4.212121212121212
110,gotlands bryggeri,wisby pils,sverige,330.0,20.9,7.0,5.0,1.0,Passar till buffématPassar till fiskPassar till sällskapsdryckPassar till grönsaker,ljus lager,pilsner,6.333333333333332
111,innis & gunn,oak aged beer,storbritannien,330.0,19.9,6.0,7.0,3.0,Passar till ostPassar till sällskapsdryck,ale,strong ale,6.030303030303029
112,brooklyn lager,,,330.0,17.9,7.0,7.0,1.0,Passar till fläskPassar till lammPassar till nötPassar till sällskapsdryck,ljus lager,modern stil/india pale lager,5.424242424242424
113,karlovacko,,kroatien,500.0,18.9,5.0,5.0,1.0,Passar till buffématPassar till fågelPassar till fläskPassar till sällskapsdryck,ljus lager,internationell stil,3.7800000000000002
114,miller,genuine draft,,330.0,15.9,3.0,3.0,1.0,Passar till sällskapsdryckPassar till buffématPassar till kryddstarkt,ljus lager,internationell stil,4.818181818181818
115,bright brew,,sverige,500.0,14.7,5.0,5.0,1.0,Passar till buffématPassar till fiskPassar till fläskPassar till sällskapsdryck,ljus lager,internationell stil,2.94
116,lindemans apple,,belgien,250.0,21.9,2.0,4.0,6.0,Passar till aperitifPassar till sällskapsdryck,syrlig öl,frukt,8.76
117,jämtlands,india pale ale,sverige,330.0,21.9,8.0,6.0,1.0,Passar till fläskPassar till lammPassar till fiskPassar till sällskapsdryck,ale,india pale ale,6.636363636363636
118,"arboga 10,2",,sverige,500.0,20.9,5.0,8.0,6.0,Passar till fläskPassar till nöt,ljus lager,starkare lager,4.18
119,grosshandlarens,premium lager,sverige,500.0,14.9,6.0,6.0,2.0,Passar till fläskPassar till lammPassar till sällskapsdryck,mellanmörk lager,märzen och wienerstil,2.98
120,mariestads dunkel,,sverige,330.0,14.9,6.0,6.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryck,mörk lager,dunkel,4.515151515151515
121,franziskaner,hefe-weissbier,tyskland,500.0,23.6,2.0,5.0,1.0,Passar till sällskapsdryckPassar till grönsakerPassar till fiskPassar till kryddstarkt,veteöl,hefeweizen,4.720000000000001
122,brooklyn,defender ipa,sverige,330.0,20.9,8.0,7.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryckPassar till fläsk,ale,india pale ale,6.333333333333332
123,zywiec,,polen,500.0,17.9,4.0,5.0,1.0,Passar till fiskPassar till fågelPassar till buffématPassar till sällskapsdryck,ljus lager,internationell stil,3.58
124,staropramen,,tjeckien,500.0,17.9,6.0,6.0,2.0,Passar till fiskPassar till fågelPassar till fläskPassar till sällskapsdryck,ljus lager,pilsner,3.58
125,pistonhead,x-edition,sverige,330.0,11.5,6.0,5.0,1.0,Passar till fiskPassar till fågelPassar till fläskPassar till sällskapsdryck,ljus lager,modern stil/india pale lager,3.4848484848484853
126,sju komma tvåan,,sverige,500.0,14.4,4.0,7.0,4.0,Passar till lammPassar till nötPassar till fläskPassar till sällskapsdryck,ljus lager,starkare lager,2.88
127,kona brewing,big wave golden ale,usa,355.0,20.9,6.0,6.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryckPassar till kryddstarkt,ale,golden/blond ale,5.887323943661971
128,grolsch premium lager,,nederländerna,330.0,13.9,5.0,5.0,1.0,Passar till buffématPassar till fiskPassar till fågelPassar till fläsk,ljus lager,internationell stil,4.212121212121212
129,stigbergets amazing haze,ipa,sverige,330.0,32.9,10.0,7.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryckPassar till fläsk,ale,new england ipa/hazy ipa,9.969696969696969
130,clockwork,tangerine session ipa,storbritannien,330.0,16.9,7.0,6.0,2.0,Passar till grönsakerPassar till fläskPassar till sällskapsdryckPassar till buffémat,ale,session ipa,5.121212121212121
131,crocodile glutenfri,,sverige,330.0,12.9,3.0,4.0,1.0,Passar till fiskPassar till skaldjurPassar till sällskapsdryckPassar till kryddstarkt,ljus lager,internationell stil,3.909090909090909
132,peroni nastro azzurro,,italien,330.0,17.1,5.0,5.0,1.0,Passar till fågelPassar till fiskPassar till buffématPassar till sällskapsdryck,ljus lager,internationell stil,5.1818181818181825
133,fraugruber,24/7,tyskland,330.0,24.9,7.0,6.0,1.0,Passar till fläskPassar till fågelPassar till lammPassar till sällskapsdryck,ljus lager,modern stil/india pale lager,7.545454545454546
134,norrlands ljus,ekologisk,sverige,330.0,10.9,4.0,4.0,1.0,Passar till fiskPassar till fågelPassar till fläskPassar till sällskapsdryck,ljus lager,internationell stil,3.3030303030303036
135,"arboga 7,3",,sverige,330.0,11.9,5.0,7.0,4.0,Passar till fågelPassar till fläskPassar till nöt,ljus lager,starkare lager,3.6060606060606064
136,oppigårds everyday,ipa,sverige,330.0,20.0,9.0,6.0,1.0,Passar till fläskPassar till buffématPassar till sällskapsdryckPassar till grönsaker,ale,session ipa,6.0606060606060606
137,omnipollo noa,pecan mud cake,sverige,330.0,49.9,6.0,10.0,9.0,Passar till dessertPassar till sällskapsdryck,imperial porter och stout,,15.121212121212121
138,brick field brown,,storbritannien,330.0,22.9,6.0,7.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,brown ale,6.939393939393939
